seq,station, lat,lon,country,station_en,,
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,Harbour Alger,36.76666667,3.066666667
2,布宜诺斯艾利斯港,34°36′S,058°22′W,阿根廷,Puerto de Beunos Aires,34.6,58.36666667
3,马德普拉塔港,38°00′S,057°32′W,阿根廷,Puerto Mar Del Plata,38,57.53333333
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,Port Abu Dhabi,24.53333333,54.38333333
5,拉希德港,25°16′N,055°16′E,阿拉伯联合酋长国,Port Rashid,25.26666667,55.26666667
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,Mina Zayed Port,24.51666667,54.38333333
7,迪拜,25°16′N,055°18′E,阿拉伯联合酋长国,Dubai,25.26666667,55.3
8,马西拉岛,20°30′N,058°50′E,阿曼,Masīrah,20.5,58.83333333
9,塞拉莱港,16°56′N,054°00′E,阿曼,Port of Salalah,16.93333333,54
10,苏尔丹卡布斯港,23°38′N,058°34′.0E,阿曼,Port Sultan Qaboos,23.63333333,58.56666667
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,Port Safaga,26.73333333,33.93333333
12,苏伊士港,29°56′.5N,032°33′.9E,埃及,Port Suez,29.93333333,32.55
13,亚历山大港,31°09′N,029°53′E,埃及,Alexandria Port,31.15,29.88333333
14,罗安达港,08°47′S,013°16′E,安哥拉,Luanda Port,8.783333333,13.26666667
15,奥尔巴尼港,35°02′S,117°53′E,澳大利亚,Albany Port,35.03333333,117.8833333
16,达尔文港,12°28′S,130°50′E,澳大利亚,Port Darwin,12.46666667,130.8333333
17,弗里曼特尔港,32°03′S,115°44′E,澳大利亚,Fremantle,32.05,115.7333333
18,凯恩斯港,16°55′S,145°47′E,澳大利亚,Cairns Harbour,16.91666667,145.7833333
19,纽卡斯尔港,32°55′S,151°48′E,澳大利亚,Newcastle Port,32.91666667,151.8
20,悉尼港,33°51′S,151°13′E,澳大利亚,Sydney Harbour,33.85,151.2166667
21,布里奇敦港,13°06′N,059°38′W,巴巴多斯,Bridgetown Harbour,13.1,59.63333333
22,莫尔兹比港,09°28′.7S,147°08′.8E,巴布亚新几内亚,Port Moresby,9.466666667,147.1333333
23,瓜德尔港,25°07′N,062°19′E,巴基斯坦,Gwādar,25.11666667,62.31666667
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,Port Muhammad Bin Qasim ,24.76666667,67.31666667
25,卡拉奇港,24°48′N,066°59′E,巴基斯坦,Karachi Harbour,24.8,66.98333333
26,苏尔曼港,26°12′.1N,050°36′.8E,巴林,Mina Sulman Port,26.2,50.6
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,Port of Sitrah,26.15,50.66666667
28,巴林港,26°14′N,050°35′E,巴林王国,Bahrain Port,26.23333333,50.58333333
29,福塔莱萨港,03°42′.9S,038°28′.6W,巴西,Fortaleza Port,3.7,38.46666667
30,里约热内卢港,22°54′S,043°12′W,巴西,Rio de Janeiro Port,22.9,43.2
31,海州港,37°59′N,125°42′E,朝鲜,Haeju Port,37.98333333,125.7
32,南浦港,38°43′N,125°24′E,朝鲜,Nampo Port,38.71666667,125.4
33,元山港,39°10′N,127°26′E,朝鲜,Wonsan Hang,39.16666667,127.4333333
34,帝力港,08°33′S,125°35′E,东帝汶,Dili Port,8.55,125.5833333
35,符拉迪沃斯托克港,43°07′N,131°52′E,俄罗斯,Port Vladivostok,43.11666667,131.8666667
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,ZarubinoPort,42.63333333,131.0833333
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,Guayaquil Port,2.283333333,79.9
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,Port Assab,13,42.75
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,Massawa Harbour,15.6,39.46666667
40,土伦港,43°06′N,005°53′E,法国,Toulon Port,43.1,5.883333333
41,马赛,43°18′N,005°22′E,法国,MarseillePor,43.3,5.366666667
42,布雷斯特,48°23′N,004°29′W,法国,BrestPort,48.38333333,4.483333333
43,帕皮提港,17°32′S,149°35′W,法属波利尼西亚,Papeete Port,17.53333333,149.5833333
44,达沃港,07°04′N,125°38′E,菲律宾,Davao Port,7.066666667,125.6333333
45,马尼拉港,14°35′N,120°58′E,菲律宾,Manila Harbour,14.58333333,120.9666667
46,三宝颜,N6.55,E122.05,菲律宾,Zamboanga,6.55,122.05
47,宿务港,10°18′N,123°53′E,菲律宾,Cebu Port,10.3,123.8833333
48,伊洛伊洛港,10°42′N,122°35′E,菲律宾,Iloilo Port,10.7,122.5833333
49,苏瓦港,18°08′.1S,178°25′.5E,斐济,Suva Port,18.13333333,178.4166667
50,明德卢港,16°53′N,025°00′W,佛得角,Mindelo Port,16.88333333,25
51,卡塔赫纳港,10°25′N,075°32′W,哥伦比亚,Cartagena Port,10.41666667,75.53333333
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,Puerto Caldera,9.916666667,83.71666667
53,利蒙港,10°00′N,083°01′W,哥斯达黎加,Puerto Limon,10,83.01666667
54,哈瓦那港,23°09′N,082°21′W,古巴,Puerto De La Habana,23.15,82.35
55,仁川港,37°28′N,126°37′E,韩国,Inchon Port,37.46666667,126.6166667
56,镇海港,35°07′N,128°42′E,韩国,Jinhae Hang,35.11666667,128.7
57,吉布提港,11°36′N,043°08′E,吉布提,Port of Djibouti,11.6,43.13333333
58,哈利法克斯港,44°39′N,063°34′W,加拿大,Halifax Harbour,44.65,63.56666667
59,西哈努克港,10°38′N,103°29′E,柬埔寨,Sihanoukville Port,10.63333333,103.4833333
60,杜阿拉港,04°03′N,009°42′E,喀麦隆,Douala Port,4.05,9.7
61,多哈港,25°18′.0N,051°33′.2E,卡塔尔,Ad Dawhah Port,25.3,51.55
62,乌姆赛义德港,24°56′.9N,051°35′.3E,卡塔尔,Port Umm Said,24.93333333,51.58333333
63,阿比让港,05°16′N,004°01′W,科特迪瓦,Port D'Abidjan,5.266666667,4.016666667
64,艾哈迈迪港,29°04′.1N,048°09′.7E,科威特,Mina al Ahmadi Port,29.06666667,48.15
65,蒙巴萨港,04°04′S,039°40′E,肯尼亚,Mombasa Harbour,4.066666667,39.66666667
66,康斯坦察港,44°10′N,028°39′E,罗马尼亚,Constantza Port,44.16666667,28.65
67,图阿马西纳港,18°08′S,049°22′E,马达加斯加,Toamasina Port,18.13333333,49.36666667
68,马累港,04°10′.5N,073°30′.4E,马尔代夫,MalePor,4.166666667,73.5
69,瓦莱塔港,35°54′N,014°31′E,马耳他,Valletta Port,35.9,14.51666667
70,巴生港,03°01′.8N,101°21′.6E,马来西亚,Port Kelang,3.016666667,101.35
71,哥打基纳巴卢港,05°59′N,116°05′E,马来西亚,Kota Kinabalu Port,5.983333333,116.0833333
72,卢穆特港,04°15′.3N,100°39′.7E,马来西亚,Port Lumut,4.25,100.65
73,马六甲港,02°12′.8N,102°09′.3E,马来西亚,Port MelaKa,2.2,102.15
74,槟城港,05°25′N,100°21′E,马来西亚,PinangPor,5.416666667,100.35
75,路易港,20°08′.9S,057°29′.2E,毛里求斯,Port Louis,20.13333333,57.48333333
76,火奴鲁鲁港,21°19′N,157°52′W,美国,Honolulu Port,21.31666667,157.8666667
77,诺福克港,36°51′N,076°19′W,美国,Norfolk Port,36.85,76.31666667
78,圣迭戈港,32°42′N,117°10′W,美国,San Diego Port,32.7,117.1666667
79,珍珠港,21°19′N,157°58′W,美国,Pearl Harbour,21.31666667,157.9666667
80,吉大港,22°19′N,091°48′E,孟加拉,Chittagong,22.31666667,91.8
81,卡亚俄港,12°03′S,077°10′W,秘鲁,Callao Port,12.05,77.16666667
82,皎漂,19°27′N,093°33′E,缅甸,Kyaukpyu,19.45,93.55
83,仰光港,16°47′N,096°15′E,缅甸,Yangon Port,16.78333333,96.25
84,卡萨布兰卡港,33°36′N,007°36′W,摩洛哥,Rade de Casablanca,33.6,7.6
85,蒙特卡洛港,43°44′N,007°26′E,摩纳哥,Monte Carlo Port,43.73333333,7.433333333
86,阿卡普尔科港,16°50′N,099°54′W,墨西哥,Port Acapulco,16.83333333,99.9
87,德班港,29°52′S,031°02′E,南非,Durban Port,29.86666667,31.03333333
88,开普敦港,33°56′S,018°26′E,南非,Cape Town Port,33.93333333,18.43333333
89,拉各斯港,06°26′S,003°24′E,尼日利亚,Lagos Port,6.433333333,3.4
90,里斯本港,38°42′N,009°11′W,葡萄牙,Lisboa Port,38.7,9.183333333
91,广岛港,34°20′N,132°25′E,日本,Hiroshima Port,34.33333333,132.4166667
92,吴港,34°14′N,132°32′E,日本,Kure Ko,34.23333333,132.5333333
93,达喀尔港,14°41′N,017°26′W,塞内加尔,Dakar Port,14.68333333,17.43333333
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,Limassol Port,34.65,33.01666667
95,拉纳卡,34°56′N,033°39′E,塞浦路斯,LarnacaPor,34.93333333,33.65
96,维多利亚港,04°37′S,055°28′E,塞舌尔,Port Victoria,4.616666667,55.46666667
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,Ad Dammam Port,26.5,50.2
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,Port Jiddah,21.46666667,39.16666667
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,Port of Jizan,16.88333333,42.53333333
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,Yenbo Industrial Port,23.95,38.21666667
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,Yenbo Commercial Port,24.06666667,38.06666667
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,Port of Jubail,27.01666667,49.68333333
103,汉班托特港,06°07′N,081°07′E,斯里兰卡,Hambantota,6.116666667,81.11666667
104,加勒港,06°02′N,080°14′E,斯里兰卡,Galle Harbour,6.033333333,80.23333333
105,科伦坡港,06°56′N,079°50′E,斯里兰卡,Port Colombo,6.933333333,79.83333333
106,亭可马里港,08°33′N,081°12′E,斯里兰卡,Trincomalee Harbour,8.55,81.2
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,Port Sawakin,19.11666667,37.33333333
108,苏丹港,19°37′N,037°14′E,苏丹,Port Sudan,19.61666667,37.23333333
109,柏培拉港,10°26′N,045°01′E,索马里,Berbera Port,10.43333333,45.01666667
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,Hobyo Port,5.333333333,48.53333333
111,基斯马尤港,0°22′S,042°34′E,索马里,Kismaayo Port,0.366666667,42.56666667
112,摩加迪沙港,02°02′N,045°20′E,索马里,Port Muqdisho,2.033333333,45.33333333
113,曼谷,13°44′N,100°30′E,泰国,Bangkok,13.73333333,100.5
114,普吉港,07°49′.2N,098°24′.3E,泰国,Port Phuket,7.816666667,98.4
115,宋卡,07°12′N,100°35′E,泰国,Songkhla,7.2,100.5833333
116,梭桃邑,12°36′N,100°56′E,泰国,Ban Sattahipp,12.6,100.9333333
117,达累斯萨拉姆港,06°50′S,039°17′E,坦桑尼亚,Dar es Salaam Port,6.833333333,39.28333333
118,努库阿洛法港,21°08′S,175°11′W,汤加,Nuku'alofa Port,21.13333333,175.1833333
119,西班牙港,10°39′N,061°32′W,特立尼达和多巴哥,Port of Spain,10.65,61.53333333
120,突尼斯港,36°49′N,010°18′E,突尼斯,Tunis Port,36.81666667,10.3
121,伊斯坦布尔港,41°01′N,028°59′E,土耳其,Port Istanbul,41.01666667,28.98333333
122,维拉港,17°45′S,168°18′E,瓦鲁阿图,Port Vila,17.75,168.3
123,穆阿拉港,05°01′N,115°04′E,文莱,Muara Port,5.016666667,115.0666667
124,斯里巴加湾港,04°54′N,114°56′E,文莱,Bandar Seri Begawan,4.9,114.9333333
125,加的斯港,36°32′.2N,006°17′.4W,西班牙,Cadiz Port,36.53333333,6.283333333
126,比雷埃夫斯港,37°57′N,023°38′E,希腊,Piraeus Port,37.95,23.63333333
127,伊拉克利翁港,35°21′N,025°09′E,希腊,Iraklion Port,35.35,25.15
128,新加坡港,01°16′N,103°50′E,新加坡,Singapore Port,1.266666667,103.8333333
129,樟宜港,01°19′N,104°01′E,新加坡,Changi Port,1.316666667,104.0166667
130,奥克兰港,36°51′S,174°46′E,新西兰,Ports of Auckland,36.85,174.7666667
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,Al Ladhiqiyah Port,35.51666667,35.76666667
132,金斯敦港,17°58′N,076°48′W,牙买加,Kingston Harbour,17.96666667,76.8
133,荷台达港,14°50′.1N,042°56′.2E,也门,Port of Hudaydah,14.83333333,42.93333333
134,穆卡拉港,14°31′N,049°09′E,也门,Mukalla Port,14.51666667,49.15
135,亚丁港,12°47′.8N,045°00′.5E,也门,Aden Port,12.78333333,45
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,Port of Umm Qasr,30.01666667,47.95
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,Bandar Abbas,27.13333333,56.2
138,布什尔港,28°59′.5N,050°50′.1E,伊朗,Port Bushehr,28.98333333,50.83333333
139,伦格港,26°33′N,054°53′E,伊朗,Bandar-e Lengeh,26.55,54.88333333
140,恰赫巴哈尔港,25°17′.4N,060°36′.6E,伊朗,Port Cha Bahar,25.28333333,60.6
141,埃拉特港,29°31′.9N,034°56′.5E,以色列,Port of Eilat,29.51666667,34.93333333
142,海法港,32°49′N,035°00′E,以色列,Haifa Port,32.81666667,35
143,卡利亚里港,39°13′N,009°06′E,意大利,Cagliari Port,39.21666667,9.1
144,奇维塔韦基亚港,42°05′N,011°47′E,意大利,Civitavechia,42.08333333,11.78333333
145,塔兰托港,40°27′N,017°12′E,意大利,Taranto Port,40.45,17.2
146,杜蒂戈林港,08°45′N,078°13′E,印度,Tuticorin Port,8.75,78.21666667
147,根德拉港,23°01′.9N,070°13′.1E,印度,Port of Kandla,23.01666667,70.21666667
148,金奈港,13°06′N,080°18′E,印度,Port of Chennai,13.1,80.3
149,科钦港,09°57′.9N,076°16′.1E,印度,Port of Cochin,9.95,76.26666667
150,孟买港,18°57′N,072°51′E,印度,Port of Mumbai,18.95,72.85
151,维沙卡帕特南港,17°41′N,083°18′E,印度,Vishakhapatnam Port,17.68333333,83.3
152,比通港,01°26′N,125°11′E,印度尼西亚,Bitung Port,1.433333333,125.1833333
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,Dumai Harbour,1.683333333,101.45
154,棉兰港,03°47′N,098°41′E,印度尼西亚,Medan Port,3.783333333,98.68333333
155,三宝垄港,06°55′S,110°25′E,印度尼西亚,Semarang Port,6.916666667,110.4166667
156,沙璜港,05°53′.4N,095°18′.9E,印度尼西亚,Port Sabang,5.883333333,95.3
157,泗水港,07°12′S,112°44′E,印度尼西亚,Port of Surabaya,7.2,112.7333333
158,勿拉湾港,03°47′.3N,098°41′.7E,印度尼西亚,Port Belawan,3.783333333,98.68333333
159,雅加达港,06°06′S,106°49′E,印度尼西亚,Pelabuhan Jakarta,6.1,106.8166667
160,亚喀巴港,29°30′.6N,034°59′.7E,约旦,Aqaba Port,29.5,34.98333333
161,归仁港,13°46′.3N,109°14′.1E,越南,Quy Nhon Port,13.76666667,109.2333333
162,海防港,20°52′N,106°41′E,越南,Hai Phong Port,20.86666667,106.6833333
163,胡志明市港,10°46′.0N,106°43′.0E,越南,Ho Chi Minh City Port,10.76666667,106.7166667
164,金兰港,11°54′N,109°09′E,越南,Cam Ranh Port,11.9,109.15
165,岘港,16°07′N,108°13′E,越南,Da Nang,16.11666667,108.2166667
166,斯里巴加湾港,04°54′N,114°56′E,文莱,BandarSeriBegawan,4.9,114.9333333
167,穆阿拉港,05°01′N,115°04′E,文莱,MuaraPort,5.016666667,115.0666667
168,瓦尔帕莱索港,33°02′S,071°38′W,智利,Puerto Valparaiso,33.03333333,71.63333333
